OMR20;EJKAT20;PRIS20;TID;INDHOLD
Hele landet;Parcel-/rækkehus;Første udbudspris;2000K3;..
Hele landet;Parcel-/rækkehus;Første udbudspris;2000K4;..
Hele landet;Parcel-/rækkehus;Første udbudspris;2001K1;..
Hele landet;Parcel-/rækkehus;Første udbudspris;2001K2;..
Hele landet;Parcel-/rækkehus;Første udbudspris;2001K3;..
Hele landet;Parcel-/rækkehus;Første udbudspris;2001K4;..
Hele landet;Parcel-/rækkehus;Første udbudspris;2002K1;..
Hele landet;Parcel-/rækkehus;Første udbudspris;2002K2;..
Hele landet;Parcel-/rækkehus;Første udbudspris;2002K3;..
Hele landet;Parcel-/rækkehus;Første udbudspris;2002K4;..
Hele landet;Parcel-/rækkehus;Første udbudspris;2003K1;..
Hele landet;Parcel-/rækkehus;Første udbudspris;2003K2;..
Hele landet;Parcel-/rækkehus;Første udbudspris;2003K3;..
Hele landet;Parcel-/rækkehus;Første udbudspris;2003K4;..
Hele landet;Parcel-/rækkehus;Første udbudspris;2004K1;9014
Hele landet;Parcel-/rækkehus;Første udbudspris;2004K2;9219
Hele landet;Parcel-/rækkehus;Første udbudspris;2004K3;9481
Hele landet;Parcel-/rækkehus;Første udbudspris;2004K4;9699
Hele landet;Parcel-/rækkehus;Første udbudspris;2005K1;10040
Hele landet;Parcel-/rækkehus;Første udbudspris;2005K2;10576
Hele landet;Parcel-/rækkehus;Første udbudspris;2005K3;11114
Hele landet;Parcel-/rækkehus;Første udbudspris;2005K4;11699
Hele landet;Parcel-/rækkehus;Første udbudspris;2006K1;12499
Hele landet;Parcel-/rækkehus;Første udbudspris;2006K2;13285
Hele landet;Parcel-/rækkehus;Første udbudspris;2006K3;13825
Hele landet;Parcel-/rækkehus;Første udbudspris;2006K4;14139
Hele landet;Parcel-/rækkehus;Første udbudspris;2007K1;14333
Hele landet;Parcel-/rækkehus;Første udbudspris;2007K2;14577
Hele landet;Parcel-/rækkehus;Første udbudspris;2007K3;14573
Hele landet;Parcel-/rækkehus;Første udbudspris;2007K4;14634
Hele landet;Parcel-/rækkehus;Første udbudspris;2008K1;14626
Hele landet;Parcel-/rækkehus;Første udbudspris;2008K2;14669
Hele landet;Parcel-/rækkehus;Første udbudspris;2008K3;14506
Hele landet;Parcel-/rækkehus;Første udbudspris;2008K4;14321
Hele landet;Parcel-/rækkehus;Første udbudspris;2009K1;13865
Hele landet;Parcel-/rækkehus;Første udbudspris;2009K2;13725
Hele landet;Parcel-/rækkehus;Første udbudspris;2009K3;13430
Hele landet;Parcel-/rækkehus;Første udbudspris;2009K4;13494
Hele landet;Parcel-/rækkehus;Første udbudspris;2010K1;13372
Hele landet;Parcel-/rækkehus;Første udbudspris;2010K2;13475
Hele landet;Parcel-/rækkehus;Første udbudspris;2010K3;13277
Hele landet;Parcel-/rækkehus;Første udbudspris;2010K4;13310
Hele landet;Parcel-/rækkehus;Første udbudspris;2011K1;13234
Hele landet;Parcel-/rækkehus;Første udbudspris;2011K2;13200
Hele landet;Parcel-/rækkehus;Første udbudspris;2011K3;12905
Hele landet;Parcel-/rækkehus;Første udbudspris;2011K4;12914
Hele landet;Parcel-/rækkehus;Første udbudspris;2012K1;12773
Hele landet;Parcel-/rækkehus;Første udbudspris;2012K2;12635
Hele landet;Parcel-/rækkehus;Første udbudspris;2012K3;12569
Hele landet;Parcel-/rækkehus;Første udbudspris;2012K4;12433
Hele landet;Parcel-/rækkehus;Første udbudspris;2013K1;12465
Hele landet;Parcel-/rækkehus;Første udbudspris;2013K2;12473
Hele landet;Parcel-/rækkehus;Første udbudspris;2013K3;12407
Hele landet;Parcel-/rækkehus;Første udbudspris;2013K4;12495
Hele landet;Parcel-/rækkehus;Første udbudspris;2014K1;12452
Hele landet;Parcel-/rækkehus;Første udbudspris;2014K2;12624
Hele landet;Parcel-/rækkehus;Første udbudspris;2014K3;12512
Hele landet;Parcel-/rækkehus;Første udbudspris;2014K4;12500
Hele landet;Parcel-/rækkehus;Første udbudspris;2015K1;12874
Hele landet;Parcel-/rækkehus;Første udbudspris;2015K2;13146
Hele landet;Parcel-/rækkehus;Første udbudspris;2015K3;13048
Hele landet;Parcel-/rækkehus;Første udbudspris;2015K4;13066
Hele landet;Parcel-/rækkehus;Første udbudspris;2016K1;13175
Hele landet;Parcel-/rækkehus;Første udbudspris;2016K2;13463
Hele landet;Parcel-/rækkehus;Første udbudspris;2016K3;13597
Hele landet;Parcel-/rækkehus;Første udbudspris;2016K4;13571
Hele landet;Parcel-/rækkehus;Første udbudspris;2017K1;13601
Hele landet;Parcel-/rækkehus;Første udbudspris;2017K2;14032
Hele landet;Parcel-/rækkehus;Første udbudspris;2017K3;14032
Hele landet;Parcel-/rækkehus;Første udbudspris;2017K4;14120
Hele landet;Parcel-/rækkehus;Første udbudspris;2018K1;14312
Hele landet;Parcel-/rækkehus;Første udbudspris;2018K2;14494
Hele landet;Parcel-/rækkehus;Første udbudspris;2018K3;14563
Hele landet;Parcel-/rækkehus;Første udbudspris;2018K4;14593
Hele landet;Parcel-/rækkehus;Første udbudspris;2019K1;14599
Hele landet;Parcel-/rækkehus;Første udbudspris;2019K2;14892
Hele landet;Parcel-/rækkehus;Første udbudspris;2019K3;15049
Hele landet;Parcel-/rækkehus;Første udbudspris;2019K4;15144
Hele landet;Parcel-/rækkehus;Første udbudspris;2020K1;15083
Hele landet;Parcel-/rækkehus;Første udbudspris;2020K2;15277
Hele landet;Parcel-/rækkehus;Første udbudspris;2020K3;15503
Hele landet;Parcel-/rækkehus;Første udbudspris;2020K4;15791
Hele landet;Parcel-/rækkehus;Første udbudspris;2021K1;16337
Hele landet;Parcel-/rækkehus;Første udbudspris;2021K2;16863
Hele landet;Parcel-/rækkehus;Første udbudspris;2021K3;17222
Hele landet;Parcel-/rækkehus;Første udbudspris;2021K4;17337
Hele landet;Parcel-/rækkehus;Første udbudspris;2022K1;17558
Hele landet;Parcel-/rækkehus;Første udbudspris;2022K2;17770
Hele landet;Parcel-/rækkehus;Første udbudspris;2022K3;17764
Hele landet;Parcel-/rækkehus;Første udbudspris;2022K4;17674
Hele landet;Parcel-/rækkehus;Første udbudspris;2023K1;17444
Hele landet;Parcel-/rækkehus;Første udbudspris;2023K2;17409
Hele landet;Parcel-/rækkehus;Første udbudspris;2023K3;17444
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1992K1;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1992K2;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1992K3;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1992K4;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1993K1;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1993K2;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1993K3;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1993K4;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1994K1;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1994K2;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1994K3;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1994K4;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1995K1;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1995K2;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1995K3;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1995K4;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1996K1;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1996K2;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1996K3;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1996K4;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1997K1;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1997K2;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1997K3;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1997K4;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1998K1;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1998K2;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1998K3;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1998K4;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1999K1;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1999K2;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1999K3;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;1999K4;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2000K1;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2000K2;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2000K3;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2000K4;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2001K1;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2001K2;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2001K3;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2001K4;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2002K1;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2002K2;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2002K3;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2002K4;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2003K1;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2003K2;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2003K3;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2003K4;..
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2004K1;14949
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2004K2;15173
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2004K3;15998
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2004K4;16576
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2005K1;17274
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2005K2;18620
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2005K3;20109
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2005K4;21529
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2006K1;23434
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2006K2;25106
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2006K3;25978
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2006K4;26639
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2007K1;26738
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2007K2;26609
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2007K3;26169
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2007K4;25910
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2008K1;25731
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2008K2;25027
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2008K3;24753
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2008K4;23870
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2009K1;22502
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2009K2;21711
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2009K3;21481
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2009K4;21476
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2010K1;21317
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2010K2;21804
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2010K3;21732
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2010K4;21998
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2011K1;21820
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2011K2;21843
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2011K3;21255
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2011K4;21095
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2012K1;20741
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2012K2;20299
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2012K3;20390
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2012K4;20526
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2013K1;20489
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2013K2;20520
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2013K3;20527
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2013K4;20777
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2014K1;20765
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2014K2;21122
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2014K3;21582
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2014K4;21447
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2015K1;21908
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2015K2;22699
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2015K3;22914
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2015K4;23186
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2016K1;23472
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2016K2;23961
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2016K3;24313
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2016K4;24438
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2017K1;24613
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2017K2;25324
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2017K3;25694
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2017K4;25771
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2018K1;26130
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2018K2;26351
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2018K3;26661
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2018K4;26992
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2019K1;26995
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2019K2;27284
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2019K3;27544
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2019K4;27965
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2020K1;27753
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2020K2;28369
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2020K3;29053
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2020K4;29810
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2021K1;31177
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2021K2;32996
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2021K3;34472
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2021K4;34760
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2022K1;35306
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2022K2;36018
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2022K3;35985
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2022K4;35503
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2023K1;34580
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2023K2;34047
Region Hovedstaden;Parcel-/rækkehus;Første udbudspris;2023K3;34580
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1992K1;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1992K2;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1992K3;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1992K4;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1993K1;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1993K2;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1993K3;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1993K4;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1994K1;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1994K2;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1994K3;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1994K4;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1995K1;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1995K2;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1995K3;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1995K4;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1996K1;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1996K2;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1996K3;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1996K4;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1997K1;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1997K2;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1997K3;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1997K4;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1998K1;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1998K2;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1998K3;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1998K4;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1999K1;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1999K2;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1999K3;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;1999K4;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2000K1;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2000K2;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2000K3;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2000K4;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2001K1;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2001K2;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2001K3;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2001K4;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2002K1;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2002K2;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2002K3;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2002K4;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2003K1;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2003K2;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2003K3;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2003K4;..
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2004K1;16673
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2004K2;16964
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2004K3;17979
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2004K4;19071
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2005K1;19520
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2005K2;21374
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2005K3;23128
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2005K4;25119
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2006K1;27279
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2006K2;28635
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2006K3;29395
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2006K4;30740
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2007K1;29962
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2007K2;30660
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2007K3;29595
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2007K4;28872
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2008K1;30120
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2008K2;28760
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2008K3;27976
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2008K4;28449
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2009K1;26275
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2009K2;25063
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2009K3;24960
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2009K4;24840
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2010K1;24854
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2010K2;25532
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2010K3;25553
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2010K4;26362
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2011K1;25289
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2011K2;26613
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2011K3;25648
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2011K4;25131
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2012K1;24784
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2012K2;24815
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2012K3;25103
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2012K4;24791
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2013K1;25578
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2013K2;25886
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2013K3;25471
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2013K4;26595
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2014K1;26575
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2014K2;27075
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2014K3;27838
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2014K4;28547
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2015K1;28741
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2015K2;30275
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2015K3;30274
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2015K4;31043
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2016K1;31578
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2016K2;32141
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2016K3;32376
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2016K4;32243
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2017K1;32737
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2017K2;34374
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2017K3;35150
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2017K4;35242
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2018K1;36850
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2018K2;35819
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2018K3;36238
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2018K4;37647
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2019K1;37168
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2019K2;37029
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2019K3;37216
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2019K4;39273
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2020K1;37551
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2020K2;38779
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2020K3;39915
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2020K4;41331
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2021K1;43871
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2021K2;46801
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2021K3;48571
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2021K4;48337
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2022K1;49319
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2022K2;51593
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2022K3;52185
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2022K4;50120
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2023K1;48065
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2023K2;46912
Landsdel København by;Parcel-/rækkehus;Første udbudspris;2023K3;48115
København;Parcel-/rækkehus;Første udbudspris;1992K1;..
København;Parcel-/rækkehus;Første udbudspris;1992K2;..
København;Parcel-/rækkehus;Første udbudspris;1992K3;..
København;Parcel-/rækkehus;Første udbudspris;1992K4;..
København;Parcel-/rækkehus;Første udbudspris;1993K1;..
København;Parcel-/rækkehus;Første udbudspris;1993K2;..
København;Parcel-/rækkehus;Første udbudspris;1993K3;..
København;Parcel-/rækkehus;Første udbudspris;1993K4;..
København;Parcel-/rækkehus;Første udbudspris;1994K1;..
København;Parcel-/rækkehus;Første udbudspris;1994K2;..
København;Parcel-/rækkehus;Første udbudspris;1994K3;..
København;Parcel-/rækkehus;Første udbudspris;1994K4;..
